Date,Open,High,Low,Close,Adj Close,Volume,Price Movement
6/8/2020,1679.099976,1699.400024,1675.900024,1698.300049,1698.300049,587,Up
6/9/2020,1694.599976,1720.900024,1692,1714.699951,1714.699951,690,Up
6/10/2020,1716.099976,1740.800049,1711.900024,1713.300049,1713.300049,718,Down
6/11/2020,1737.199951,1744.099976,1720,1732,1732,347,Up
6/12/2020,1724.900024,1743,1724.900024,1729.300049,1729.300049,318,Down
6/15/2020,1730,1730,1703.300049,1720.300049,1720.300049,188,Down
6/16/2020,1726.300049,1729.599976,1722.400024,1729.599976,1729.599976,22,Up
6/17/2020,1714.699951,1729.199951,1714.699951,1729.199951,1729.199951,51,Down
6/18/2020,1730.5,1734.099976,1717.300049,1724.800049,1724.800049,110,Down
6/19/2020,1723.699951,1750.699951,1723.5,1745.900024,1745.900024,1329,Up
6/22/2020,1755.199951,1767.599976,1750.5,1756.699951,1756.699951,1356,Up
6/23/2020,1755.400024,1776.300049,1754.199951,1772.099976,1772.099976,666,Up
6/24/2020,1778.300049,1783.099976,1764.5,1765.800049,1765.800049,961,Down
6/25/2020,1761.699951,1764.800049,1759.800049,1762.099976,1762.099976,207,Down
6/26/2020,1766,1772.5,1764.699951,1772.5,1772.5,640,Up
6/29/2020,1779.800049,1780.199951,1774.300049,1774.800049,1774.800049,584,Up
6/30/2020,1777.300049,1793.199951,1774.400024,1793,1793,986,Up
7/1/2020,1793.599976,1798,1765.800049,1773.199951,1773.199951,331,Down
7/2/2020,1773.400024,1784,1768.699951,1784,1784,215,Up
7/6/2020,1788.199951,1790.099976,1788.199951,1788.5,1788.5,172,Up
7/7/2020,1789.300049,1804.199951,1783.300049,1804.199951,1804.199951,751,Up
7/8/2020,1801.5,1817.900024,1801.5,1815.5,1815.5,209,Up
7/9/2020,1816.099976,1819.800049,1799.199951,1799.199951,1799.199951,396,Down
7/10/2020,1805.5,1805.5,1797.699951,1798.199951,1798.199951,236,Down
7/13/2020,1805,1811,1805,1811,1811,164,Up
7/14/2020,1791,1811.5,1791,1810.599976,1810.599976,339,Down
7/15/2020,1806.099976,1813.5,1806.099976,1811.400024,1811.400024,167,Up
7/16/2020,1810.900024,1810.900024,1794.300049,1798.699951,1798.699951,146,Down
7/17/2020,1798.5,1810.099976,1798.5,1808.300049,1808.300049,24,Up
7/20/2020,1807,1817.300049,1807,1815.900024,1815.900024,89,Up
7/21/2020,1822,1842.400024,1822,1842.400024,1842.400024,117,Up
7/22/2020,1858.099976,1867,1854.699951,1864.099976,1864.099976,213,Up
7/23/2020,1868.699951,1890.300049,1868.5,1889.099976,1889.099976,133,Up
7/24/2020,1884.300049,1897.300049,1884.300049,1897.300049,1897.300049,474,Up
7/27/2020,1901.699951,1938,1901.5,1931,1931,364,Up
7/28/2020,1931.5,1944.699951,1928.599976,1944.699951,1944.699951,825,Up
7/29/2020,1953.199951,1953.5,1952.599976,1953.5,1953.5,209835,Up
7/30/2020,1963.400024,1965.099976,1930,1942.300049,1942.300049,28853,Down
7/31/2020,1948.599976,1981.099976,1948,1962.800049,1962.800049,2914,Up
8/3/2020,1984.300049,1984.300049,1955.5,1966,1966,683,Up
8/4/2020,1971,2016.199951,1968.800049,2001.199951,2001.199951,2010,Up
8/5/2020,2024,2050.199951,2011,2031.099976,2031.099976,1422,Up
8/6/2020,2045.5,2063,2040,2051.5,2051.5,294,Up
8/7/2020,2040.099976,2055,2009.599976,2010.099976,2010.099976,808,Down
8/10/2020,2026.400024,2043.800049,2017.5,2024.400024,2024.400024,233,Up
8/11/2020,2012.400024,2016,1904,1932.599976,1932.599976,971,Down
8/12/2020,1923,1946.599976,1871.599976,1934.900024,1934.900024,404,Up
8/13/2020,1921.5,1957.400024,1916.900024,1956.699951,1956.699951,71,Up
8/14/2020,1938.699951,1947.400024,1937,1937,1937,201,Down
8/17/2020,1949.599976,1985,1949.599976,1985,1985,97,Up
8/18/2020,2001.099976,2002.800049,1972.099976,1999.400024,1999.400024,92,Up
8/19/2020,1980,1980,1938.699951,1958.699951,1958.699951,347,Down
8/20/2020,1941.199951,1948.300049,1922.300049,1933.800049,1933.800049,106,Down
8/21/2020,1941,1945,1908.900024,1934.599976,1934.599976,184,Up
8/24/2020,1930.199951,1940,1922.199951,1927.699951,1927.699951,85,Down
8/25/2020,1927.5,1928.5,1911.800049,1911.800049,1911.800049,176,Down
8/26/2020,1909.699951,1950.800049,1909.699951,1940.699951,1940.699951,287,Up
8/27/2020,1948.900024,1972.5,1921.599976,1921.599976,1921.599976,2303,Down
8/28/2020,1927.099976,1971.300049,1922.5,1964.599976,1964.599976,778,Up
8/31/2020,1970,1971.300049,1953.300049,1967.599976,1967.599976,158,Up
9/1/2020,1961.699951,1986.300049,1961.699951,1968.199951,1968.199951,186,Up
9/2/2020,1967.300049,1967.300049,1934.400024,1934.400024,1934.400024,71,Down
9/3/2020,1937.099976,1938.800049,1923,1927.599976,1927.599976,179,Down
9/4/2020,1927.900024,1939.699951,1917.699951,1923.900024,1923.900024,607,Down
9/8/2020,1930.900024,1937.900024,1903.099976,1933,1933,271,Up
9/9/2020,1926.900024,1946.199951,1924.599976,1944.699951,1944.699951,219,Up
9/10/2020,1944.099976,1962.699951,1944.099976,1954.199951,1954.199951,722,Up
